Name,Text,TextJa
^action( action )^,"^^action( action )^^\nThis code performs any action, or list of actions, that could be performed by an agent or rule. For simplicity, consider it as if it were a rule that is only run when a note is exported using the template holding the ^^action()^^ code.\nThe action code in the action parameter is performed immediately. ^^action()^^ does not export anything itself. For example, to make a note with $Color of 'blue' change to 'red' if exported:\n	^^action($Color=""red"")^^ \nwill change the colour of the exported note to red. Note that the change of $Color made by the code above is permanent, i.e. it is now 'red' until changed otherwise.\nHowever, this operator allows manipulations for export use without needing, for instance, to hold the value in a user attribute first. Since action code added variables, a common use of ^^action()^^ if to read an attribute  value and store a changed value in a variable that is then used in the exported 'text' of the output page.\nAlso see, action(), ^^value( expression )^^.\nThe internal equivalent is a normal action/rule statement, i.e. where is no point in using ^^action^^ internally. However, if you want some logic during export to change an internal attribute value (e.g. exported notes having a new colour), then use ^^action^^ in the context of your export codes.\nIMPORTANT: if using ^^action()^^ in the text of an exporting note (i.e. in $Text), remove all line breaks in the enclosed action code. Otherwise a mis-evaluation will occur as each code line will be treated as an HTML paragraph enclosed in &lt;p>&lt;/p> tags.",アクションコードを実行します。このタグ自体は何も書き出しませんが、書き出し中にノートの属性（$Colorなど）を永続的に変更したり、変数を操作したりするのに使用します。
"^ancestors( [start, list-item-prefix, list-item-suffix, end ])^","^^ancestors([ ""start"", ""list-item-prefix"", ""list-item-suffix"", ""end""] )^^\nreturns links to all of the ancestors of this note (if any). Unlike the pre-v.4.6 format of links in a single line, with colons between the elements, this defaults to an HTML unordered list like other list-generating codes.\nIf the optional start, list-item-prefix, list-item-suffix, end arguments are omitted then the default values of &lt;ul&gt;, &lt;li&gt;, &lt;/li&gt;, &lt;/ul&gt; are used.\nThis allows you to format the group of links as an HTML list or table in the exact format you want, where ""start"" is quote-enclosed text that will be inserted before all of the links, ""end"" is text that will be inserted after all of the links, ""list-item-prefix"" is text that will be inserted before each link, and ""list-item-suffix"" is text that will be inserted after each link. See more on altering list type or other HTML output.\nIf ""Hierarchical lists"" in the HTML pane of the preferences is unchecked, this will not work.\nMark-up (export code) elements embedded in ^^ancestors^^ are evaluated.\nTo get the pre-v.4.6 format use:\n	^^ancestors("""","""","" : "","""")^^ \nExported links use the CSS class and target based on their underlying Tinderbox link values, if one is specified; the link type value is not picked up as a class name.\nAliases export as discrete notes (if the alias' container is set to ExportChildren) with content of the original but was any contextual hierarchical inks appropriate to the aliases' location. The ^^ancestors^^ for an alias also export as the ancestors of the alias, not the ancestors of the source note.\nAny ancestor set to $HTMLDontExport=true is skipped.\nItem objects source and destination may be used in expressions to indicate from where data used within the expression's arguments is drawn.\nThe export is relative to current rather than this, facilitating work with included files.\nFrom v11.0.0, the operator's list output omits notes that are not exported.","^^ancestors([ ""開始"", ""リスト項目プレフィックス"", ""リスト項目サフィックス"", ""終了""] )^^\nこのメモのすべての先祖 (存在する場合) へのリンクを返します。v.4.6 より前の、要素間にコロンが入った 1 行のリンク形式とは異なり、他のリスト生成コードと同様に、デフォルトで HTML の順序なしリストになります。\nオプションの start、list-item-prefix、list-item-suffix、end 引数が省略された場合、デフォルト値の &lt;ul&gt;、&lt;li&gt;、&lt;/li&gt;、&lt;/ul&gt; が使用されます。が使用されています。\nこれにより、リンクのグループを希望どおりの形式の HTML リストまたはテーブルとして書式設定できます。「start」はすべてのリンクの前に挿入される引用符で囲まれたテキスト、「end」はすべてのリンクの後に挿入されるテキスト、「list-item-prefix」は各リンクの前に挿入されるテキスト、「list-item-suffix」は各リンクの後に挿入されるテキストです。リスト タイプまたはその他の HTML 出力の変更の詳細を参照してください。\n環境設定の HTML ペインの「階層リスト」のチェックが外れている場合、これは機能しません。\n^^ancestors^^ に埋め込まれたマークアップ (エクスポート コード) 要素が評価されます。\nv.4.6 より前の形式を取得するには、次を使用します。\n^^祖先("""","""","" : "","""")^^\nエクスポートされたリンクは、基になる Tinderbox リンク値 (指定されている場合) に基づいて CSS クラスとターゲットを使用します。リンク タイプの値はクラス名として選択されません。\nエイリアスは、元のコンテンツを含む個別のノートとしてエクスポートされますが (エイリアスのコンテナが ExportChildren に設定されている場合)、エイリアスの場所に適切なコンテキスト階層インクでした。エイリアスの ^^ancestors^^ も、ソース ノートの先祖ではなく、エイリアスの先祖としてエクスポートされます。\n$HTMLDontExport=true に設定された祖先はスキップされます。\n項目オブジェクトのソースと宛先を式で使用して、式の引数内で使用されるデータがどこから抽出されるかを示すことができます。\nエクスポートはこれではなく現在に相対的なものであるため、含まれているファイルの作業が容易になります。\nv11.0.0 以降、オペレーターのリスト出力では、エクスポートされないメモが省略されます。"
^backslashEncode( data )^,^^backslashEncode( data )^^\nThe ^^backslashEncode^^ code has been added for the convenience of exporting to JSON and JavaScript. ^^backslashEncode^^ prefaces single and double quotation marks with a single backslash.,^^バックスラッシュエンコード(データ)^^\nJSON および JavaScript へのエクスポートを容易にするために、^^backslashEncode^^ コードが追加されました。^^backslashEncode^^ は、一重引用符と二重引用符の前に単一のバックスラッシュを付けます。
"^basicLinks( [start, list-item-prefix, list-item-suffix, end] )^","Note: this is deprecated in favour of ^^outboundLinks^^, though the behaviour is the same and this method still works, for legacy purposes.\n^^basicLinks( [""start"", ""list-item-prefix"", ""list-item-suffix"", ""end""] )^^\nreturns all of the basic links from this note, formatted as an unordered list. The logical counterpart of this code is ^^inboundLinks^^. This code does not include outbound text links on the presumption that these are already present in the output ^^text^^ of the note. There is no single code to list all outbound links.\nIf the optional start, list-item-prefix, list-item-suffix, end arguments are omitted then the default values of &lt;ul&gt;, &lt;li&gt;, &lt;/li&gt;, &lt;/ul&gt; are used.\nThis allows you to format the group of links as an HTML list or table in the exact format you want, where ""start"" is text that will be inserted before all of the links, ""end"" is text that will be inserted after all of the links, ""list-item-prefix"" is text that will be inserted before each link, and ""list-item-suffix"" is text that will be inserted after each link. See more on altering list type or other HTML output.\nExported links use the CSS class and target based on their underlying Tinderbox link values, if one is specified; the link type value is not picked up as a class name.\nMark-up elements embedded in ^^basicLinks^^ are evaluated.\nNote that unlike other link in/outbound link codes this code and ^^inboundLinks^^ do not offer an optional link type filter.\nItem objects source and destination may be used in expressions to indicate from where data used within the expression's arguments is drawn.\nOriginals and aliases export their own basic links (i.e. aliases can differ), but if an alias has no in/outbound basic links it will export those of the original.\nAlso see: ^^outboundBasicLinks^^, ^^outboundTextLinks^^ and ^^outboundWebLinks^^.\nThe export is relative to current rather than this, facilitating work with included files.\nFrom v11.0.0, the operator's list output omits notes that are not exported.","注: これは ^^outboundLinks^^ を優先して非推奨になりましたが、動作は同じであり、このメソッドは従来の目的で引き続き機能します。\n^^basicLinks( [""開始"", ""リスト項目プレフィックス"", ""リスト項目サフィックス"", ""終了""] )^^\nこのメモからのすべての基本リンクを、順序なしリストとしてフォーマットして返します。このコードの論理的な対応物は ^^inboundLinks^^ です。このコードには、ノートの出力 ^^text^^ にアウトバウンド テキスト リンクがすでに存在しているという前提で、アウトバウンド テキスト リンクは含まれていません。すべての送信リンクをリストする単一のコードはありません。\nオプションの start、list-item-prefix、list-item-suffix、end 引数が省略された場合、デフォルト値の &lt;ul&gt;、&lt;li&gt;、&lt;/li&gt;、&lt;/ul&gt; が使用されます。が使用されています。\nこれにより、リンクのグループを希望どおりの形式の HTML リストまたはテーブルとして書式設定できます。「start」はすべてのリンクの前に挿入されるテキスト、「end」はすべてのリンクの後に挿入されるテキスト、「list-item-prefix」は各リンクの前に挿入されるテキスト、「list-item-suffix」は各リンクの後に挿入されるテキストです。リスト タイプまたはその他の HTML 出力の変更の詳細を参照してください。\nエクスポートされたリンクは、基になる Tinderbox リンク値 (指定されている場合) に基づいて CSS クラスとターゲットを使用します。リンク タイプの値はクラス名として選択されません。\n^^basicLinks^^ に埋め込まれたマークアップ要素が評価されます。\n他のリンクイン/アウトバウンドリンクコードとは異なり、このコードと ^^inboundLinks^^ はオプションのリンクタイプフィルターを提供しないことに注意してください。\n項目オブジェクトのソースと宛先を式で使用して、式の引数内で使用されるデータがどこから抽出されるかを示すことができます。\nオリジナルとエイリアスは独自の基本リンクをエクスポートします (つまり、エイリアスは異なる場合があります) が、エイリアスにイン/アウトバウンド基本リンクがない場合は、オリジナルの基本リンクがエクスポートされます。\n^^outboundBasicLinks^^、^^outboundTextLinks^^、および ^^outboundWebLinks^^ も参照してください。\nエクスポートはこれではなく現在に相対的なものであるため、含まれているファイルの作業が容易になります。\nv11.0.0 以降、オペレーターのリスト出力では、エクスポートされないメモが省略されます。"
"^childLinks( [start, list-item-prefix, list-item-suffix, end] )^","^^childLinks( [""start"", ""list-item-prefix"", ""list-item-suffix"", ""end""] )^^\nreturns links to all of the children of this note (if any), formatted as an unordered list. NB! If ""Hierarchical lists"" in the HTML pane of the preferences is unchecked, this will not work.\nIf the optional start, list-item-prefix, list-item-suffix, end arguments are omitted then the default values of &lt;ul&gt;, &lt;li&gt;, &lt;/li&gt;, &lt;/ul&gt; are used.\nThis allows you to format the group of links as an HTML list or table in the exact format you want, where ""start"" is text that will be inserted before all of the links, ""end"" is text that will be inserted after all of the links, ""list-item-prefix"" is text that will be inserted before each link, and ""list-item-suffix"" is text that will be inserted after each link. See more on altering list type or other HTML output.\nMark-up elements embedded in ^^childLinks^^ are evaluated.\nIf ""Hierarchical lists"" in the HTML pane of the preferences is unchecked, this will not work.\nThe HTMLDontExport settings of children are respected.\nUsually, rules and queries to test whether a note has children will test ChildCount. But ^^if(^^childLinks^^)… is better if you want the expression to be false if the note has children BUT none of the children are exported.\nExported links use the CSS class and target based on their underlying Tinderbox link values, if one is specified; the link type value is not picked up as a class name.\nItem objects source and destination may be used in expressions to indicate from where data used within the expression's arguments is drawn.\nIf ^childLinks^ appears in a note (or its template) which does not export its own children, it instead creates links to the original of each child.\nThe export is relative to current rather than this, facilitating work with included files.\nFrom v11.0.0, the operator's list output omits notes that are not exported.","^^childLinks( [""開始"", ""リスト項目プレフィックス"", ""リスト項目サフィックス"", ""終了""] )^^\nこのメモのすべての子 (存在する場合) へのリンクを、順序なしリストとしてフォーマットして返します。注意！環境設定の HTML ペインの「階層リスト」のチェックが外れている場合、これは機能しません。\nオプションの start、list-item-prefix、list-item-suffix、end 引数が省略された場合、デフォルト値の &lt;ul&gt;、&lt;li&gt;、&lt;/li&gt;、&lt;/ul&gt; が使用されます。が使用されています。\nこれにより、リンクのグループを希望どおりの形式の HTML リストまたはテーブルとして書式設定できます。「start」はすべてのリンクの前に挿入されるテキスト、「end」はすべてのリンクの後に挿入されるテキスト、「list-item-prefix」は各リンクの前に挿入されるテキスト、「list-item-suffix」は各リンクの後に挿入されるテキストです。リスト タイプまたはその他の HTML 出力の変更の詳細を参照してください。\n^^childLinks^^ に埋め込まれたマークアップ要素が評価されます。\n環境設定の HTML ペインの「階層リスト」のチェックが外れている場合、これは機能しません。\n子の HTMLDontExport 設定が尊重されます。\n通常、ノートに子があるかどうかをテストするルールとクエリは ChildCount をテストします。ただし、メモに子があるが、子がエクスポートされない場合に式を false にしたい場合は、^^if(^^childLinks^^)… の方が適しています。\nエクスポートされたリンクは、基になる Tinderbox リンク値 (指定されている場合) に基づいて CSS クラスとターゲットを使用します。リンク タイプの値はクラス名として選択されません。\n項目オブジェクトのソースと宛先を式で使用して、式の引数内で使用されるデータがどこから抽出されるかを示すことができます。\n^childLinks^ が、自身の子をエクスポートしないノート (またはそのテンプレート) に表示される場合、代わりに各子のオリジナルへのリンクが作成されます。\nエクスポートはこれではなく現在に相対的なものであるため、含まれているファイルの作業が容易になります。\nv11.0.0 以降、オペレーターのリスト出力では、エクスポートされないメモが省略されます。"
"^children( [template][,N] )^","^^children^^\nTells Tinderbox to include the immediate children of the current note (or agent) in the current web page using their default template file.\n^^children( template )^^\nTells Tinderbox to include the descendants of the current note (or agent) in the current Web page using the specified template file.\n^^children( template,N )^^\nTells Tinderbox to include only the first N immediate children of the current note (or agent) with the specified template file. If N is used without a template, a comma must be placed before N. \nThis replaces the deprecated ^^justChildren( template )^^. The original ^^children^^ code was replaced by ^^descendants^^.\n^^children^^ evaluates its template argument, allowing agents and containers to use expressions like\n	^^children(^^value($MyTemplate)^^)^^ \nThe HTMLDontExport settings of children are respected.\nIMPORTANT: If you build templates where the exported (HTML) documents where one document includes content from child/other Tinderbox notes, links to the included content from other documents will not get created. Tinderbox is not able to convert those links to #in-page-addresses within the overall target document. The same limitation applies to ^^include()^^.",現在のノートの直下の子ノートを、指定したテンプレートで書き出します。
"^cloud( item, count] )^","^^cloud( [item, count] )^^\nThis provides an HTML interface to the information displayed in the Get Info dialog's words tab. It displays the 100 most common words in the note, omitting stop words (there may be fewer words if there are fewer valid words in scope). The words are wrapped in  tags to permit the most common words to be displayed in a larger font; the tags used may be customised through the new attributes HTMLCloud1Start/End, HTMLCloud2Start/End, etc.\n^^cloud^^ takes two optional arguments:\n* item. This refers to a specific note by name, path, or by an item object keyword such as parent. If document is used or item is omitted, the scope is the whole whole document. \n* count. This specifies the maximum number of common words to be displayed.\nExamples:\n	^^cloud^^ \n	^^cloud(this,25)^^ \n	^^cloud(/this/that/other/note)^^ \n	^^cloud(Interesting Note, 75)^^ \nSee also ^^sectionCloud^^, ^^documentCloud^^","^^cloud( [アイテム, 数] )^^\nこれにより、「情報を見る」ダイアログの「単語」タブに表示される情報への HTML インターフェイスが提供されます。メモ内の最も一般的な 100 個の単語が表示され、ストップ ワードは省略されます (範囲内の有効な単語が少ない場合は、単語の数が少なくなる可能性があります)。最も一般的な単語を大きなフォントで表示できるように、単語はタグで囲まれています。使用されるタグは、新しい属性 HTMLCloud1Start/End、HTMLCloud2Start/End などを使用してカスタマイズできます。\n^^cloud^^ は 2 つのオプションの引数を取ります。\n*項目。これは、名前、パス、または親などの項目オブジェクトのキーワードによって特定のメモを参照します。document を使用するか項目を省略した場合、スコープはドキュメント全体になります。\n* 数えます。表示する一般的な単語の最大数を指定します。\n例:\n^^雲^^\n^^雲(これ、25)^^\n^^クラウド(/これ/あれ/その他/メモ)^^\n^^クラウド(興味深いメモ、75)^^\n^^sectionCloud^^、^^documentCloud^^ も参照してください。"
^comment( data )^,^^comment( data )^^\nAll of the data within the parentheses of the ^^comment^^ is exported as an HTML comment. Thus:\n	^^comment(This is a comment)^^ \nexports as an unseen HTML code comment as in:\n	&lt;-- This is a comment --&gt;,^^コメント(データ)^^\n^^コメント^^の括弧内のデータはすべて、HTML コメントとしてエクスポートされます。したがって:\n^^コメント(これはコメントです)^^\n次のように、目に見えない HTML コード コメントとしてエクスポートします。\n&lt;-- これはコメントです --&gt;
"^descendants( [template][,N] )^","^^descendants^^\nTells Tinderbox to include the descendants of the current note (or agent) in the current web page using their default template file.\n^^descendants( template )^^\nTells Tinderbox to include the descendants of the current note (or agent) in the current Web page using the specified template file.\n^^descendants( template,N )^^\nTells Tinderbox to include only the first N descendants of the current note (or agent) with the specified template file. If N is used without a template, a comma must be placed before N. In finding N matches, the first branch is to its tip, then all siblings then recursing up branch #1's sub-branches before starting branch #2.\nTo export immediate children but not the children's descendants, see ^^children( template )^^. This replaces the old usage of ^^children^^.\n^^descendants^^ evaluates its template argument, allowing agents and containers to use expressions like\n	^^descendants(^^value($MyTemplate)^^)^^ \nThe HTMLDontExport settings of children are respected.",現在のノートのすべての子孫ノートを、指定したテンプレートで書き出します。
^directory( item )^,"^^directory^^\nExports the relative path for this web page's file from the top-level directory you selected for storing HTML files to this file (excluding the filename). This equates to $Container in HTML-exported name form.\nExample:\nFor the note exporting to ""/archives/May.html"", ^^directory(this)^^ generates ""archives/"".\nThe directory for this note is: ""^directory(this)^""\nThe location of the folder is described in the ^^path^^ article.",^^ディレクトリ^^\nこの Web ページのファイルの相対パスを、HTML ファイルを保存するために選択した最上位ディレクトリからこのファイルにエクスポートします (ファイル名を除く)。これは、HTML でエクスポートされた名前形式の $Container に相当します。\n例:\n「/archives/May.html」にエクスポートするノートの場合、^^directory(this)^^ により「archives/」が生成されます。\nこのメモのディレクトリは「^ディレクトリ(this)^」です。\nフォルダーの場所は ^^path^^ の記事に記載されています。
"^do( theMacro [,argument, anotherArgument, etc.] )^","^^do(theMacro)^^\nAllows you to use macros in HTML (and XML) export, where theMacro is a macro you have defined in Tinderbox.\n^^do(theMacro [,argument, anotherArgument])^^\nAllows you to use macros in HTML (and XML) export, where theMacro is a macro you have defined in Tinderbox; and argument and anotherArgument are additional arguments that can be passed to the macro.\nThere are no limits, within sensible reason, to the number of arguments that may be supplied.\nRead about macros for usage details.\nInternally, the do() operator may be used.\nUnlike do(), and specifically in the context of export, ^^do^^ will evaluate inline export code within the macro's code.\n^^do^^ accepts the theMacro argument as a quoted string (to meet current action code usage for string data).","^^do(マクロ)^^\nHTML (および XML) エクスポートでマクロを使用できるようにします。ここで、Macro は、Tinderbox で定義したマクロです。\n^^do(theMacro [,argument, anotherArgument])^^\nHTML (および XML) エクスポートでマクロを使用できるようにします。ここで、Macro は Tinderbox で定義したマクロです。and argument と anotherArgument は、マクロに渡すことができる追加の引数です。\n合理的な理由の範囲内では、指定できる引数の数に制限はありません。\n使用法の詳細については、マクロについてお読みください。\n内部的には do() 演算子が使用される場合があります。\ndo() とは異なり、特にエクスポートのコンテキストでは、^^do^^ はマクロのコード内のインライン エクスポート コードを評価します。\n^^do^^ は、theMacro 引数を引用符で囲まれた文字列として受け入れます (文字列データに対する現在のアクション コードの使用状況を満たすため)。"
^docTitle^,"^^docTitle^^\nThe name of the Tinderbox document (i.e. the OS filename). The '.tbx' file extension is omitted if present.\nNote that this data cannot be retrieved using action code.\nThe ^^docTitle^^ of this TBX file is: ""^docTitle^"".",^^ドキュメントのタイトル^^\nTinderbox ドキュメントの名前 (つまり、OS ファイル名)。「.tbx」ファイル拡張子は、存在する場合は省略されます。\nこのデータはアクション コードを使用して取得できないことに注意してください。\nこの TBX ファイルの ^^docTitle^^ は、「^docTitle^」です。
^documentCloud( [count] )^,"^^documentCloud( [count] )^^\nThis provides an HTML interface to the information displayed in the Get Info dialog's words tab. Here the scope is the whole TBX document. It displays the 100 most common words in the note, omitting stop words (there may be fewer words if there are fewer valid words in scope). The words are wrapped in  tags to permit the most common words to be displayed in a larger font; the tags used may be customised through the new attributes HTMLCloud1Start/End, HTMLCloud2Start/End, etc.\n^^documentCloud^^ takes one optional arguments:\n* count. This specifies the maximum number of common words to be displayed.\nExamples:\n	^^documentCloud^^ \n	^^documentCloud(50)^^ \nSee also ^^cloud^^, ^^sectionCloud^^ \nBelow is the output from ^^documentCloud(25)^^. Note that ideally it should be placed in some form of HTML container rather than be allowed to spread across the page otherwise the visual impact is lost. Here anyway is the ^^documentCloud(25)^^ 'raw' output:\n^documentCloud(25)^",^^documentCloud( [カウント] )^^\nこれにより、「情報を見る」ダイアログの「単語」タブに表示される情報への HTML インターフェイスが提供されます。ここでのスコープは TBX ドキュメント全体です。メモ内の最も一般的な 100 個の単語が表示され、ストップ ワードは省略されます (範囲内の有効な単語が少ない場合は、単語の数が少なくなる可能性があります)。最も一般的な単語を大きなフォントで表示できるように、単語はタグで囲まれています。使用されるタグは、新しい属性 HTMLCloud1Start/End、HTMLCloud2Start/End などを使用してカスタマイズできます。\n^^documentCloud^^ は、オプションの引数を 1 つ受け取ります。\n* 数えます。表示する一般的な単語の最大数を指定します。\n例:\n^^ドキュメントクラウド^^\n^^ドキュメントクラウド(50)^^\n「^^クラウド^^」、「^^セクションクラウド^^」も参照してください。\n以下は ^^documentCloud(25)^^ からの出力です。理想的には、ページ全体に分散させるのではなく、何らかの形式の HTML コンテナーに配置する必要があることに注意してください。そうしないと、視覚的なインパクトが失われます。とにかく、ここに ^^documentCloud(25)^^ '生' 出力を示します。\n^ドキュメントクラウド(25)^
^else^,"^^else^^\nIf the condition specified in ^^if( condition )^^ is not true, then export everything from the ^^else^^ statement to the ^^endif^^.\nThus:\n	^^if($Width>5)^^The $Width is greater than 5.^^else^^The $Width is 5.0 or less.^^endIf^^ \n…which, depending on the outcome exports out either the string ""The $Width is greater than 5."" or the string ""The $Width is 5.0 or less.""\nNote there is no extended branching form, such as an 'else if' method. For that, nest further ^^if()^^ tests in the negative result branch (i.e. after the ^^else^^).",^if^タグの条件が偽（false）だった場合に書き出すブロックを開始します。
^endIf^,^^endIf^^\nIndicates the end of the alternatives indicated by the ^^if( condition)^^ statement. This closing statement is not mandatory if there is no ^^else^^ branch to the resulting actions. Thus the following are acceptable alternatives:\n	^^if(condition)^^do stuff[end of template line auto-closes code] \n	^^if(condition)^^do stuff^^endIf^^ \nFor the next test a closing ^^endIf^^ is mandatory:\n	^^if(condition)^^do stuff^^else^^do other stuff^^endIf^^,^if^ブロックの終了を示します。
^file( item )^,"^^file( item )^^\nThe filename of the file for the web page for an item (i.e. note). This is the combination of $HTMLExportFileName plus $HTMLExportExtension. If no item is supplied, it defaults to value of 'this'. If HTMLExportFileName is not manually set it is created dynamically at export from $Name, with the filename varying according to the length set in $HTMLFileNameMaxLength (for aTbRef it is currently set to: ^value($HTMLFileNameMaxLength)^).\nThe export filename of this note (^^file^^) is: ""^file^"". \nThe export filename of note ""HTMLExportBefore"" (^^file(HTMLExportBefore)^^) is: ""^file(HTMLExportBefore)^"". \nBut see that '^^value($HTMLExportFileName+"" + ""+$HTMLExportExtension)^^' gives: '^value($HTMLExportFileName+"" + ""+$HTMLExportExtension)^' ← note the missing filename! The latter problem occurs as $HTMLExportFileName is not evaluated until export.","^^ファイル(アイテム)^^\nアイテム (メモなど) の Web ページのファイルのファイル名。これは、$HTMLExportFileName と $HTMLExportExtension の組み合わせです。項目が指定されていない場合は、デフォルトの値「this」が使用されます。HTMLExportFileName が手動で設定されていない場合、$Name からのエクスポート時に動的に作成され、ファイル名は $HTMLFileNameMaxLength に設定された長さに応じて変化します (aTbRef の場合、現在は ^value($HTMLFileNameMaxLength)^ に設定されています)。\nこのメモ (^^file^^) のエクスポート ファイル名は、「^file^」です。\n注記「HTMLExportBefore」(^^file(HTMLExportBefore)^^) のエクスポート ファイル名は「^file(HTMLExportBefore)^」です。\nただし、'^^value($HTMLExportFileName+"" + ""+$HTMLExportExtension)^^' は次のようになります: '^value($HTMLExportFileName+"" + ""+$HTMLExportExtension)^' ← ファイル名が欠落していることに注意してください。後者の問題は、$HTMLExportFileName がエクスポートされるまで評価されないために発生します。"
